unix_epoch_at_the_start_of_averaging_period,average_price_in_usd,symbol
1.716408e+09,3746.892500000001,ETH
1.7164044e+09,3737.2608333333355,ETH
1.7164008e+09,3725.048333333331,ETH
1.7163972e+09,3758.1841666666687,ETH
1.7163936e+09,3759.947500000003,ETH
1.71639e+09,3748.1158333333346,ETH
1.7163864e+09,3710.1349999999998,ETH
1.7163828e+09,3686.4883333333323,ETH
1.7163792e+09,3699.744166666667,ETH
1.7163756e+09,3734.2883333333325,ETH
1.716372e+09,3739.422499999998,ETH
1.7163684e+09,3746.0208333333358,ETH
1.7163648e+09,3756.8466666666673,ETH
1.7163612e+09,3755.305000000001,ETH
1.7163576e+09,3761.241666666664,ETH
1.716354e+09,3754.079999999999,ETH
1.7163504e+09,3773.4183333333344,ETH
1.7163468e+09,3795.4933333333347,ETH
1.7163432e+09,3789.6508333333372,ETH
1.7163396e+09,3783.3016666666654,ETH
1.716336e+09,3790.276666666668,ETH
1.7163324e+09,3802.033333333334,ETH
1.7163288e+09,3779.647500000002,ETH
1.7163252e+09,3751.3500000000013,ETH
1.7163216e+09,3746.6966666666654,ETH
1.716318e+09,3727.6050000000014,ETH
1.7163144e+09,3745.5766666666673,ETH
1.7163108e+09,3756.8183333333345,ETH
1.7163072e+09,3798.5283333333364,ETH
1.7163036e+09,3790.6858333333334,ETH
1.7163e+09,3793.8833333333328,ETH
1.7162964e+09,3786.9358333333334,ETH
1.7162928e+09,3772.9333333333357,ETH
1.7162892e+09,3758.62166666667,ETH
1.7162856e+09,3704.7266666666665,ETH
1.716282e+09,3666.427500000004,ETH
1.7162784e+09,3656.3325000000023,ETH
1.7162748e+09,3664.0516666666676,ETH
1.7162712e+09,3665.810833333334,ETH
1.7162676e+09,3646.4500000000003,ETH
1.716264e+09,3681.258333333332,ETH
1.7162604e+09,3683.6233333333325,ETH
1.7162568e+09,3672.686666666667,ETH
1.7162532e+09,3673.0050000000024,ETH
1.7162496e+09,3684.3341666666634,ETH
1.716246e+09,3648.5199999999986,ETH
1.7162424e+09,3634.44,ETH
1.7162388e+09,3540.869166666667,ETH
1.7162352e+09,3462.924166666665,ETH
1.7162316e+09,3280.1508333333336,ETH
1.716228e+09,3147.772500000001,ETH
1.7162244e+09,3136.0899999999997,ETH
1.7162208e+09,3127.298333333334,ETH
1.7162172e+09,3105.187500000001,ETH
1.7162136e+09,3086.9291666666636,ETH
1.71621e+09,3088.3025000000007,ETH
1.7162064e+09,3092.6300000000024,ETH
1.7162028e+09,3106.003333333333,ETH
1.7161992e+09,3105.2950000000014,ETH
1.7161956e+09,3105.660833333334,ETH
1.716192e+09,3102.495000000001,ETH
1.7161884e+09,3088.7,ETH
1.7161848e+09,3110.1491666666648,ETH
1.7161812e+09,3128.875000000001,ETH
1.7161776e+09,3100.9099999999985,ETH
1.716174e+09,3092.088333333332,ETH
1.7161704e+09,3086.0000000000014,ETH
1.7161668e+09,3071.7216666666673,ETH
1.7161632e+09,3073.7650000000017,ETH
1.7161596e+09,3074.304166666667,ETH
1.716156e+09,3077.3725000000004,ETH
1.7161524e+09,3073.5891666666666,ETH
1.7161488e+09,3078.8508333333316,ETH
1.7161452e+09,3074.735,ETH
1.7161416e+09,3074.7816666666663,ETH
1.716138e+09,3072.0216666666684,ETH
1.7161344e+09,3072.605000000002,ETH
1.7161308e+09,3076.625000000001,ETH
1.7161272e+09,3082.829999999999,ETH
1.7161236e+09,3081.1891666666675,ETH
1.71612e+09,3092.850000000001,ETH
1.7161164e+09,3097.0366666666673,ETH
1.7161128e+09,3114.3475000000003,ETH
1.7161092e+09,3107.060833333335,ETH
1.7161056e+09,3112.7216666666673,ETH
